"filename", "language", "TypeScript React", "CSS", "TypeScript", "comment", "blank", "total"
"/home/perry/Projects/JSCalc/react-calculator/src/app/TextDisplay/StyledContainer.tsx", "TypeScript React", 7, 0, 0, 0, 3, 10
"/home/perry/Projects/JSCalc/react-calculator/src/app/TextDisplay/index.tsx", "TypeScript React", 18, 0, 0, 0, 5, 23
"/home/perry/Projects/JSCalc/react-calculator/src/components/Button.tsx", "TypeScript React", 26, 0, 0, 0, 3, 29
"/home/perry/Projects/JSCalc/react-calculator/src/components/Flex.tsx", "TypeScript React", 13, 0, 0, 0, 3, 16
"/home/perry/Projects/JSCalc/react-calculator/src/components/Header.tsx", "TypeScript React", 4, 0, 0, 0, 2, 6
"/home/perry/Projects/JSCalc/react-calculator/src/components/Layout.tsx", "TypeScript React", 15, 0, 0, 0, 3, 18
"/home/perry/Projects/JSCalc/react-calculator/src/components/Text.tsx", "TypeScript React", 15, 0, 0, 0, 3, 18
"/home/perry/Projects/JSCalc/react-calculator/src/components/index.ts", "TypeScript", 0, 0, 5, 0, 1, 6
"/home/perry/Projects/JSCalc/react-calculator/src/components/types.ts", "TypeScript", 0, 0, 11, 0, 3, 14
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/OperationContext.tsx", "TypeScript React", 37, 0, 0, 0, 8, 45
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/index.ts", "TypeScript", 0, 0, 2, 0, 1, 3
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/operationReducer.ts", "TypeScript", 0, 0, 16, 0, 2, 18
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/types.ts", "TypeScript", 0, 0, 23, 0, 8, 31
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/utils/actionCreators.ts", "TypeScript", 0, 0, 18, 0, 4, 22
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/utils/index.ts", "TypeScript", 0, 0, 1, 0, 1, 2
"/home/perry/Projects/JSCalc/react-calculator/src/context/operation/utils/operationHandlers.ts", "TypeScript", 0, 0, 35, 0, 4, 39
"/home/perry/Projects/JSCalc/react-calculator/src/pages/index.tsx", "TypeScript React", 13, 0, 0, 0, 3, 16
"/home/perry/Projects/JSCalc/react-calculator/src/styles/global.css", "CSS", 0, 88, 0, 5, 2, 95
"Total", "-", 560, 88, 140, 5, 193, 986
